date_key,site_key,region_key,service_key,vendor_key,uptime_minutes,downtime_minutes,avg_latency_ms,packet_loss_pct,availability_pct
202401,1,7,1,1,42799,401,118.62,1.17,99.071
202401,1,7,1,2,42850,350,15.58,1.232,99.189
202401,1,7,1,3,43059,141,91.55,1.168,99.672
202401,1,7,1,4,42799,401,52.64,0.218,99.07
202401,1,7,2,1,43123,77,80.45,0.53,99.82
202401,1,7,2,2,42795,405,47.65,0.522,99.06
202401,1,7,2,3,43068,132,81.94,1.336,99.693
202401,1,7,2,4,42962,238,27.56,1.084,99.449
202401,1,7,3,1,43081,119,73.93,1.168,99.723
202401,1,7,3,2,42971,229,69.89,0.67,99.469
202401,1,7,3,3,42779,421,26.33,0.096,99.024
202401,1,7,3,4,43030,170,48.01,0.787,99.605
202401,1,7,4,1,43141,59,41.18,0.645,99.862
202401,1,7,4,2,43079,121,39.02,0.162,99.718
202401,1,7,4,3,42887,313,31.93,1.398,99.275
202401,1,7,4,4,43100,100,81.51,1.314,99.768
202401,2,4,1,1,43098,102,34.59,1.344,99.763
202401,2,4,1,2,42990,210,99.78,1.349,99.512
202401,2,4,1,3,42899,301,26.56,0.381,99.302
202401,2,4,1,4,42944,256,100.89,1.298,99.406
202401,2,4,2,1,42771,429,68.63,0.655,99.007
202401,2,4,2,2,42860,340,27.59,0.54,99.211
202401,2,4,2,3,43155,45,48.94,0.802,99.896
202401,2,4,2,4,43057,143,53.18,1.459,99.668
202401,2,4,3,1,43163,37,41.44,0.771,99.914
202401,2,4,3,2,42892,308,44.91,0.103,99.286
202401,2,4,3,3,43019,181,67.78,0.125,99.579
202401,2,4,3,4,42883,317,110.37,0.397,99.265
202401,2,4,4,1,42828,372,66.39,1.479,99.138
202401,2,4,4,2,42868,332,85.57,1.154,99.23
202401,2,4,4,3,42866,334,91.46,0.583,99.226
202401,2,4,4,4,43028,172,81.52,0.827,99.601
202401,3,5,1,1,42806,394,102.71,0.515,99.086
202401,3,5,1,2,42845,355,19.28,0.907,99.177
202401,3,5,1,3,43047,153,16.74,0.793,99.644
202401,3,5,1,4,42861,339,82.74,0.303,99.215
202401,3,5,2,1,43052,148,55.61,1.408,99.656
202401,3,5,2,2,42825,375,50.81,0.215,99.131
202401,3,5,2,3,43148,52,107.12,0.424,99.878
202401,3,5,2,4,43039,161,100.81,0.855,99.627
202401,3,5,3,1,42986,214,40.39,0.185,99.503
202401,3,5,3,2,43137,63,109.54,0.968,99.852
202401,3,5,3,3,42908,292,51.67,1.103,99.322
202401,3,5,3,4,43137,63,108.14,1.181,99.852
202401,3,5,4,1,43032,168,23.83,0.284,99.61
202401,3,5,4,2,43137,63,78.68,0.063,99.854
202401,3,5,4,3,42810,390,84.67,0.057,99.096
202401,3,5,4,4,42834,366,72.62,1.053,99.153
202401,4,7,1,1,43036,164,38.55,1.083,99.619
202401,4,7,1,2,42866,334,49.17,1.132,99.225
202401,4,7,1,3,43035,165,104.17,1.004,99.617
202401,4,7,1,4,43002,198,24.84,0.583,99.54
202401,4,7,2,1,42877,323,40.62,1.461,99.252
202401,4,7,2,2,42930,270,108.66,0.965,99.373
202401,4,7,2,3,43095,105,67.78,0.887,99.755
202401,4,7,2,4,42971,229,35.5,1.098,99.468
202401,4,7,3,1,42884,316,17.55,0.986,99.267
202401,4,7,3,2,42841,359,113.75,1.433,99.168
202401,4,7,3,3,43144,56,53.87,0.072,99.869
202401,4,7,3,4,43149,51,59.96,1.452,99.882
202401,4,7,4,1,43164,36,104.57,0.477,99.915
202401,4,7,4,2,42927,273,104.37,0.51,99.366
202401,4,7,4,3,42838,362,73.46,1.407,99.161
202401,4,7,4,4,43054,146,74.86,0.191,99.661
202401,5,3,1,1,43021,179,118.96,0.253,99.584
202401,5,3,1,2,42981,219,107.12,1.124,99.492
202401,5,3,1,3,43055,145,88.76,0.571,99.662
202401,5,3,1,4,42889,311,99.98,1.225,99.279
