date_key,region_key,service_key,vendor_key,uptime_minutes,downtime_minutes,availability,avg_latency_ms,packet_loss_pct
202401,1,1,1,472400,2800,0.994107744107744,77.2690909090909,0.5754545454545454
202401,1,1,2,473020,2180,0.995412457912458,57.96909090909091,0.6122727272727272
202401,1,1,3,472573,2627,0.9944718013468014,66.99363636363637,0.8507272727272728
202401,1,1,4,473028,2172,0.9954292929292929,83.48545454545454,0.8323636363636364
202401,1,2,1,473186,2014,0.9957617845117845,70.48818181818181,0.9134545454545454
202401,1,2,2,472285,2915,0.9938657407407407,67.89999999999999,0.5780000000000001
202401,1,2,3,471837,3363,0.9929229797979798,64.16272727272727,0.6999090909090909
202401,1,2,4,472415,2785,0.9941393097643098,65.46,0.7206363636363636
202401,1,3,1,471987,3213,0.9932386363636364,54.70272727272727,0.9055454545454545
202401,1,3,2,472289,2911,0.9938741582491581,69.18,0.7490909090909091
202401,1,3,3,472661,2539,0.9946569865319865,64.47818181818182,0.6090909090909091
202401,1,3,4,473160,2040,0.9957070707070707,75.7609090909091,0.7300909090909091
202401,1,4,1,473224,1976,0.9958417508417509,73.16181818181818,0.9895454545454545
202401,1,4,2,473324,1876,0.9960521885521886,59.38454545454545,0.8294545454545456
202401,1,4,3,471639,3561,0.9925063131313131,82.9090909090909,0.7277272727272728
202401,1,4,4,472405,2795,0.994118265993266,54.24909090909091,0.5813636363636363
202401,2,1,1,817113,3687,0.9955080409356726,71.86263157894737,0.6887894736842105
202401,2,1,2,816021,4779,0.9941776315789475,62.68000000000001,0.7187894736842105
202401,2,1,3,816116,4684,0.9942933723196882,58.89947368421052,0.6143157894736843
202401,2,1,4,817174,3626,0.9955823586744639,71.69052631578947,0.6406315789473684
202401,2,2,1,816568,4232,0.9948440545808966,59.292631578947365,0.587421052631579
202401,2,2,2,816839,3961,0.9951742202729046,72.50421052631579,0.7649473684210527
202401,2,2,3,816815,3985,0.9951449805068225,57.55368421052631,0.6444736842105264
202401,2,2,4,816218,4582,0.9944176413255361,61.29736842105264,0.8327894736842105
